"","ID","Long","Lat","Year","Month","Origin","Surface","Species","Abundance","Density","bathymetry","substrat","chl_mean","nppv_mean","o2_mean","o2_cv","o2_perc_25","temp_mean","temp_cv","temp_perc_90","sali_mean","sali_cv","sali_tresh_10","sali_perc_90","wave_mean"
"60","1996_6_3570_67",-1.1939,45.9532,1996,9,"NURSE",0.006687,"Merlangius merlangus",1,1.49543891132047,-4,"6",4.00632524490356,173.918716430664,105.237602233887,2.04896879196167,103.864738464355,19.2202568054199,12.3925704956055,21.6732997894287,32.5032691955566,3.65159130096436,0,33.9243507385254,"1"
"61","1996_5_3551_17",-1.1752,45.953,1996,9,"NURSE",0.006579,"Merlangius merlangus",9,13.6798905608755,-4.86999988555908,"6",4.00632524490356,173.918716430664,105.237602233887,2.04896879196167,103.864738464355,19.2202568054199,12.3925704956055,21.6732997894287,32.5032691955566,3.65159130096436,0,33.9243545532227,"1"
"62","1996_6_3568_65",-1.1572,45.929,1996,9,"NURSE",0.005673,"Merlangius merlangus",0,0,-2.41000008583069,"6",4.00120210647583,176.982238769531,104.581878662109,2.20586133003235,103.258338928223,19.4006576538086,12.4661350250244,21.8771991729736,32.1317977905273,4.35196733474731,0,33.7759017944336,"1"
"63","1996_2_3594_8",-1.346,45.622,1996,9,"NURSE",0.005115,"Merlangius merlangus",4,7.82013685239492,-12.7700004577637,"6",2.52664875984192,85.1275863647461,102.610946655273,2.23008465766907,101.003913879395,14.882776260376,5.46228933334351,15.7877502441406,34.2822914123535,1.65705943107605,0,34.901668548584,"3"
"64","1996_2_3592_6",-1.3,45.584,1996,9,"NURSE",0.004818,"Merlangius merlangus",0,0,-13.3599996566772,"5",2.29982089996338,81.2651977539062,103.048904418945,2.05092620849609,101.523078918457,15.1532258987427,5.53587293624878,16.2000198364258,34.308952331543,1.68463897705078,0,34.9048004150391,"3"
"65","1996_3_3623_29",-1.2173,45.6554,1996,10,"NURSE",0.004488,"Merlangius merlangus",1,2.22816399286988,-12.0901775360107,"5",3.19377541542053,115.348472595215,104.358207702637,2.44922018051147,102.552040100098,16.23264503479,8.25172424316406,18.1416873931885,33.0407905578613,3.31400775909424,0,34.1801223754883,"3"
"66","1996_3_3621_27",-1.1877,45.667,1996,10,"NURSE",0.004629,"Merlangius merlangus",1,2.16029379995679,-11.3667917251587,"5",3.21111154556274,126.568054199219,105.121315002441,2.37138390541077,103.38143157959,17.2225914001465,8.97056102752686,19.2779521942139,32.8108444213867,3.61086583137512,0,34.0643844604492,"3"
"67","1996_3_3619_25",-1.1293,45.619,1996,10,"NURSE",0.003315,"Merlangius merlangus",0,0,-6.84333324432373,"4",3.84059619903564,136.476593017578,106.072059631348,2.48452949523926,104.025680541992,17.2113189697266,8.91470813751221,19.2920722961426,32.2634773254395,3.97373628616333,0,33.5965232849121,"3"
"68","1996_3_3618_24",-1.0738,45.6248,1996,10,"NURSE",0.004479,"Merlangius merlangus",0,0,-15.7266674041748,"5",4.91256809234619,158.83332824707,106.343864440918,2.54582381248474,104.121017456055,17.5722026824951,9.47566604614258,19.690601348877,31.2797164916992,4.6301851272583,0,32.8196029663086,"3"
"70","1996_3_3617_23",-0.8872,45.5167,1996,10,"NURSE",0.004338,"Merlangius merlangus",0,0,-7.00215291976929,"5",12.1290159225464,30.8060111999512,108.024337768555,3.8701479434967,105.124382019043,19.5840663909912,11.6162776947021,22.0276012420654,17.4355850219727,17.9632244110107,1,20.8266010284424,"1"
"71","1996_3_3610_16",-0.9405,45.5046,1996,10,"NURSE",0.004839,"Merlangius merlangus",0,0,-7.65000009536743,"5",12.1290159225464,30.8060111999512,108.024337768555,3.8701479434967,105.124382019043,19.5840663909912,11.6162776947021,22.0276012420654,17.4355850219727,17.9632244110107,1,20.8266010284424,"1"
"72","1996_3_3596_2",-0.9198,45.5056,1996,10,"NURSE",0.005802,"Merlangius merlangus",0,0,-6.07999992370605,"5",12.1290159225464,30.8060111999512,108.024337768555,3.8701479434967,105.124382019043,19.5840663909912,11.6162776947021,22.0276012420654,17.4355850219727,17.9632244110107,1,20.8266010284424,"1"
